ID	chr	exon	strand
ENSG00000137726.17_ENST00000540359.6	chr11	117839577:117839830,117840319:117840368,117841148:117841184,117841791:117841865,117841990:117842028,117842719:117842781,117876592:117876729	-
ENSG00000177098.9_ENST00000415030.6	chr11	118133377:118137120,118141207:118141336,118143833:118144061,118145057:118145433	-
ENSG00000177098.9_ENST00000324727.9	chr11	118133377:118137120,118141207:118141336,118143833:118144061,118145057:118145229,118152613:118152823	-
ENSG00000019144.20_TALONT000372353	chr11	118634978:118635163,118635393:118635548,118638891:118639001,118639162:118639251,118639861:118640004,118642254:118642394,118643800:118643940,118644072:118644174,118644647:118644691,118645356:118645650,118645735:118645825,118647930:118648076,118650077:118650193,118650445:118650547,118655605:118655690,118656683:118658025	+
ENSG00000019144.20_TALONT000372382	chr11	118639407:118641784,118642254:118642394,118643800:118643940,118644072:118644174,118645356:118645650,118645735:118645825,118647930:118648076,118650077:118650193,118650445:118650547,118655605:118655690,118655860:118655892,118656683:118658025	+
ENSG00000082805.21_TALONT000373642	chr12	991223:991322,1027748:1028572,1083164:1083580,1104750:1104824,1110192:1110347,1115866:1116033,1141620:1141787,1180540:1180677,1181925:1182005	+
ENSG00000082805.21_TALONT000373645	chr12	991225:991322,1027748:1028572,1083164:1083580,1104750:1104824,1110192:1110347,1112215:1112298,1115866:1116033,1141620:1141787,1180540:1180677,1181925:1182005	+
ENSG00000082805.21_TALONT000373652	chr12	991233:991487,1027748:1028572,1083164:1083580,1104750:1104824,1110192:1110347,1112215:1112298,1115866:1116033,1141620:1141787,1180540:1180677,1181925:1182005	+
ENSG00000082805.21_TALONT000373656	chr12	991238:991487,1027748:1028572,1083164:1083580,1104750:1104824,1110192:1110347,1115866:1116033,1141620:1141787,1180540:1180677,1181925:1182005	+
ENSG00000050405.14_ENST00000547825.5	chr12	50175788:50178069,50181904:50182037,50192452:50192561,50195830:50195887,50200777:50202112	-
ENSG00000050405.14_ENST00000552720.5	chr12	50177006:50178069,50181904:50182037,50185390:50185448,50192452:50192561,50195830:50195887,50200777:50200884,50204552:50204700,50205984:50206068,50222021:50222485,50231665:50231710,50248633:50248774,50283420:50283456	-
ENSG00000135486.19_ENST00000340913.11	chr12	54280726:54280822,54281386:54281502,54281795:54281941,54282090:54282300,54282394:54282486,54282573:54282665,54282800:54282874,54283079:54283234,54283812:54283967,54284258:54284317,54284549:54287087	+
ENSG00000135486.19_ENST00000551665.1	chr12	54285907:54286732,54286953:54287051	+
ENSG00000075415.15_ENST00000546766.5	chr12	98593655:98593740,98593975:98595848,98597856:98598035,98598522:98598703,98599955:98600127,98601171:98601281,98601368:98601997	+
ENSG00000075415.15_ENST00000552981.6	chr12	98593686:98593740,98593975:98594135,98595727:98595848,98597856:98598035,98598522:98598703,98599955:98600127,98601171:98601281,98601368:98606367	+
ENSG00000133083.15_ENST00000615680.4	chr13	35768652:35774699,35788212:35788285,35793366:35793479,35805699:35805779,35808224:35808320,35809018:35809095,35810835:35810968,35822729:35822875,35827635:35827754,35828250:35828307,35836033:35836141,35839092:35839176,35854499:35854593,35855510:35855861	-
ENSG00000133083.15_ENST00000379893.5	chr13	35771339:35774699,35793366:35793479,35805699:35805779,35808224:35808320,35809018:35809095,35810835:35810968,35822729:35822875,35827635:35827754,35828250:35828307,35836033:35836141,35839092:35839176,35854499:35854593,35855510:35855642	-
ENSG00000136141.15_ENST00000311191.10	chr13	46553168:46553703,46650201:46650345,46669030:46669156,46681741:46681846,46685905:46686041,46687852:46687979,46689133:46689196,46692536:46692641,46694893:46695017,46699336:46699403,46701121:46701207,46705068:46705157,46705268:46705304,46711791:46711844,46712525:46712597,46723221:46723330,46728847:46728984,46733921:46733998,46750540:46753040	+
ENSG00000136141.15_TALONT000385980	chr13	46553168:46553703,46650201:46650345,46669030:46669156,46681741:46681846,46685905:46686041,46687852:46687979,46689133:46689196,46692536:46692641,46694893:46695017,46699336:46699403,46701121:46701207,46705068:46705157,46705268:46705304,46711791:46711844,46712525:46712597,46715560:46715664,46723221:46723330,46728847:46728984,46733921:46733998,46750540:46751560	+
ENSG00000102606.20_TALONT000387792	chr13	111153647:111153721,111153905:111153991,111205289:111205373,111209872:111210002,111217679:111217880,111233205:111233293,111243872:111243966,111244199:111244294,111267548:111267670,111273814:111273952,111274731:111274790,111275532:111275678,111277587:111277673,111280272:111280350,111280538:111280677,111283139:111283363,111286147:111286240,111288354:111288443,111292118:111292294,111300748:111300847,111301478:111301532,111302991:111305731	+
ENSG00000102606.20_TALONT000387793	chr13	111153647:111153721,111153905:111153991,111205289:111205373,111209872:111210002,111217679:111217880,111233205:111233293,111243872:111243966,111244199:111244294,111267548:111267670,111273814:111273952,111274731:111274790,111275532:111275678,111277587:111277673,111280272:111280350,111280538:111280677,111283139:111283363,111286147:111286240,111288354:111288443,111300748:111300847,111301478:111301532,111302991:111305732	+
ENSG00000165795.25_ENST00000360463.7	chr14	21016772:21017762,21017987:21018038,21018204:21018239,21018457:21018504,21018763:21018814,21019116:21019160,21019639:21019742,21019920:21019976,21020496:21020582,21020784:21020844,21021817:21021879,21022062:21022182,21022392:21022497,21023241:21023321,21025677:21025819	-
ENSG00000165795.25_ENST00000554143.5	chr14	21016773:21017762,21017987:21018038,21018204:21018239,21018457:21018504,21018763:21018814,21019116:21019160,21019639:21019742,21019920:21019976,21020496:21020582,21020784:21020844,21021817:21021879,21022062:21022182,21022392:21022497,21023241:21023321,21025029:21025105	-
ENSG00000100505.14_ENST00000298355.7	chr14	50975262:50977353,50979387:50979549,50981800:50982103,50998050:50998188,51000683:51000840,51009080:51009233,51010384:51010494,51022835:51022957,51025265:51025360,51094118:51096061	-
ENSG00000100505.14_ENST00000360392.4	chr14	50996064:50998188,51000683:51000840,51009080:51009233,51010384:51010494,51022835:51022957,51025265:51025360,51094118:51095076	-
ENSG00000126790.12_TALONT000391501	chr14	59471748:59476006,59476092:59476214,59479182:59479351,59483809:59484408	-
ENSG00000126790.12_ENST00000481608.1	chr14	59475869:59476006,59476092:59476214,59479182:59479351,59483680:59484006	-
ENSG00000140264.21_ENST00000249786.9	chr15	43792320:43792383,43792975:43793083,43793710:43796079	+
ENSG00000140264.21_ENST00000486144.1	chr15	43792330:43792383,43792975:43793950	+
ENSG00000140262.18_ENST00000267811.9	chr15	56918625:56918906,56919892:56919988,56921026:56921098,57063750:57063823,57091789:57091891,57166402:57166466,57192158:57192293,57197773:57197825,57231152:57231257,57232291:57232430,57232712:57232856,57234043:57234107,57243472:57243550,57251350:57251423,57253262:57253468,57262094:57262208,57263112:57263274,57273030:57273262,57282445:57282598,57286157:57289853	+
ENSG00000140262.18_ENST00000333725.10	chr15	56918644:56918906,56919892:56919988,56921026:56921098,57063750:57063823,57091789:57091891,57166402:57166466,57192158:57192293,57197773:57197825,57231152:57231257,57232291:57232430,57232712:57232856,57234043:57234107,57243472:57243550,57251350:57251423,57252421:57252492,57253262:57253468,57262094:57262208,57263112:57263274,57273030:57273262,57282445:57282598,57286157:57289853	+
ENSG00000137817.17_TALONT000400081	chr15	72241182:72241557,72241901:72241985,72242157:72242220,72242620:72242699,72249245:72249314,72250020:72250092,72250845:72250954,72251207:72251255,72253437:72253504,72254455:72254520,72256465:72256590,72257348:72257440,72258037:72258132,72259608:72259661,72260538:72260688,72261558:72261707,72264555:72264621,72265081:72265171,72265413:72265473,72265897:72265991,72266745:72266822,72267475:72267671,72271023:72272281	-
ENSG00000137817.17_ENST00000566991.5	chr15	72241218:72241557,72241901:72241985,72242157:72242220,72242620:72245787	-
ENSG00000041357.16_TALONT000401058	chr15	78540427:78542219,78542483:78542645,78544190:78544267,78544869:78544957,78545634:78545764,78546575:78546698,78548790:78549186	+
ENSG00000041357.16_ENST00000044462.12	chr15	78540444:78540539,78541905:78541930,78542177:78542219,78542483:78542645,78544190:78544267,78544869:78544957,78545634:78545764,78546575:78546698,78548790:78552417	+
ENSG00000103540.17_ENST00000381396.9	chr16	19523857:19524088,19527867:19528022,19532416:19532544,19535940:19537587,19540657:19540787,19541887:19542064,19542621:19542760,19542878:19542994,19544797:19544898,19545094:19545210,19545817:19545890,19546412:19546474,19547955:19548014,19548515:19548600,19551196:19553408	+
ENSG00000103540.17_ENST00000694978.1	chr16	19523942:19524088,19527867:19528022,19532416:19532544,19535940:19537587,19540657:19540787,19541887:19542064,19542621:19542760,19542878:19542994,19544797:19544898,19545094:19545210,19545817:19545890,19546412:19546474,19547955:19548014,19551196:19553408	+
ENSG00000007237.19_ENST00000585266.5	chr17	9915255:9917341,9918001:9918099,9919626:9919705,9925476:9925599,9926641:9926769,9934166:9934244,9940126:9940200,9943121:9943236,9946894:9946983,9959202:9959255,9969677:9969762,9981804:9981884,10019777:10019897,10036434:10036747	-
ENSG00000007237.19_ENST00000580865.5	chr17	9915978:9917341,9918001:9918099,9919626:9919705,9925476:9925599,9926641:9926769,9934166:9934244,9940126:9940200,9943121:9943236,9946894:9946983,9959202:9959462	-
ENSG00000167085.14_ENST00000300408.8	chr17	49404052:49405204,49406759:49406854,49409042:49409158,49409331:49409473,49411678:49411839,49413177:49413291,49414835:49414882	-
ENSG00000167085.14_ENST00000508009.6	chr17	49404072:49405204,49406759:49409158,49409331:49409473,49411678:49411839,49413177:49413291,49414835:49414898	-
ENSG00000189050.16_ENST00000305783.13	chr17	59952240:59953111,59954045:59954146,59956488:59956553,59957224:59957382,59958291:59958444,59960068:59960168,59962540:59962616,59962827:59963284,59964608:59964740	-
ENSG00000189050.16_ENST00000482446.5	chr17	59952362:59953111,59954045:59954146,59956488:59956553,59957224:59957382,59958291:59958444,59962540:59962616,59962827:59963284,59964608:59964734	-
ENSG00000082397.18_TALONT000421319	chr18	5392381:5393478,5394677:5394793,5395067:5395147,5395609:5395707,5396201:5396332,5397058:5397426,5398021:5398143,5406777:5406968,5410566:5410619,5419711:5419813	-
ENSG00000082397.18_ENST00000578618.5	chr18	5392386:5395147,5395609:5395707,5396201:5396332,5397058:5397426,5398021:5399566	-
ENSG00000134779.15_ENST00000334295.9	chr18	36794108:36797050,36798449:36798609,36800198:36800311,36805374:36805502,36807847:36807934,36818894:36818973,36828683:36829002	-
ENSG00000134779.15_ENST00000589049.5	chr18	36798018:36798609,36800198:36800311,36805374:36805502,36807847:36807934,36818894:36818973,36828683:36828781	-
ENSG00000130175.10_ENST00000591462.6	chr19	11435635:11435706,11436041:11436196,11436389:11436505,11437876:11437971,11438067:11438124,11441240:11441357,11442386:11442515,11445389:11445473,11446272:11446350,11447074:11447160,11447439:11447618,11447723:11447789,11448222:11448291,11448540:11448629,11448914:11448988,11449076:11449175,11449266:11449428,11450646:11450965	+
ENSG00000130175.10_ENST00000677123.1	chr19	11435635:11435706,11436041:11436196,11436389:11436505,11437876:11437971,11438067:11438124,11441240:11441357,11442386:11442515,11445389:11445473,11446272:11446350,11447074:11447160,11447439:11447618,11447693:11447789,11448222:11448291,11448540:11448629,11448914:11448988,11449076:11449175,11449266:11449428,11450646:11450968	+
ENSG00000105696.9_ENST00000262817.8	chr19	18612870:18613129,18613872:18614016,18614104:18614195,18615975:18616127,18617000:18617102,18618155:18618272,18618375:18618492,18620408:18621039	+
ENSG00000105696.9_ENST00000598660.1	chr19	18612877:18613129,18613872:18614016,18614104:18614195,18615975:18616127,18617000:18617102,18618155:18618492,18620408:18621006	+
ENSG00000249115.9_ENST00000587439.5	chr19	35612744:35612892,35613730:35613792,35613868:35613900,35614035:35614059,35615042:35615147,35615227:35615386,35617124:35617193,35617287:35617369,35617855:35617912,35618071:35618195,35618569:35618699,35618887:35619049,35619424:35619504,35619613:35620123,35620195:35620327,35622601:35622733,35622876:35623609	+
ENSG00000249115.9_ENST00000585968.5	chr19	35612752:35612892,35613730:35613792,35613868:35613900,35614035:35614059,35615042:35615147,35615227:35615386,35617124:35617193,35617287:35617369,35617855:35617912,35618071:35618195,35618402:35618465,35618569:35618699,35618887:35619049,35619424:35619504,35619613:35620123,35620195:35620327,35622601:35622733,35622876:35623557	+
ENSG00000197619.15_ENST00000598071.6	chr19	51991332:51994837,52000346:52000378,52001813:52001908,52002155:52002281,52003697:52003900,52007293:52007330,52008141:52008211	-
ENSG00000197619.15_TALONT000431274	chr19	51991332:51994837,52001813:52001908,52002155:52002281,52003697:52003900,52008141:52008196	-
ENSG00000167615.17_ENST00000326764.10	chr19	54449199:54449310,54451290:54451382,54452093:54452267,54452651:54452752,54453546:54453656,54454430:54454682,54454951:54455092,54455364:54455567,54455967:54456245,54456325:54456465,54456636:54456921,54457747:54457848,54457934:54458002,54458103:54458232,54458314:54458521,54460766:54462016	+
ENSG00000167615.17_TALONT000431661	chr19	54449199:54449306,54451290:54451382,54452093:54452267,54452651:54452752,54453546:54453656,54454430:54454682,54454951:54455092,54455364:54455567,54455967:54456245,54456325:54456465,54456636:54456921,54457747:54457848,54457934:54458002,54458103:54458232,54458314:54458521,54460766:54462016	+
ENSG00000063245.15_ENST00000270460.11	chr19	55675226:55675435,55678527:55678855,55685396:55685645,55688870:55688994,55689297:55689371,55689867:55689950,55691754:55692057,55692686:55692796,55692951:55693037,55694726:55694983,55695148:55709533	+
ENSG00000063245.15_TALONT000431776	chr19	55675226:55675435,55678527:55678855,55685396:55685645,55688870:55688994,55689867:55689950,55691754:55692057,55692686:55692796,55692951:55693037,55694726:55694983,55695148:55695766	+
ENSG00000101365.21_TALONT000432401	chr20	2658395:2659585,2659699:2659793,2660030:2660176,2660263:2660365,2660457:2660590,2660697:2660829,2660909:2660969,2663446:2663566,2663660:2663758,2663925:2664005,2664153:2664209	-
ENSG00000101365.21_ENST00000491065.1	chr20	2660505:2660969,2663446:2663566,2663660:2663758,2663925:2664005,2664153:2664209	-
ENSG00000089199.10_TALONT000432851	chr20	5911510:5911682,5916326:5916372,5916826:5916919,5922335:5923681	+
ENSG00000089199.10_TALONT000432858	chr20	5911510:5911682,5916326:5916372,5916826:5916919,5922335:5924031,5924972:5925353	+
ENSG00000197586.13_ENST00000376652.9	chr20	25195712:25195867,25206522:25206590,25207076:25207397,25209849:25209925,25213263:25213406,25214867:25214942,25215676:25215711,25216648:25216736,25217502:25217581,25218550:25218614,25221232:25221333,25222838:25222978,25224101:25224157,25225205:25225317,25225499:25228075	+
ENSG00000197586.13_TALONT000433756	chr20	25195712:25195867,25207076:25207397,25209849:25209925,25213263:25213406,25214867:25214942,25215676:25215711,25216648:25216736,25217502:25217581,25218550:25218614,25221232:25221333,25222838:25222978,25224101:25224157,25225162:25225317,25225499:25226729	+
ENSG00000130684.14_ENST00000252979.6	chr20	25673195:25677037,25685567:25685662,25685996:25686122,25686391:25686466,25696759:25696853	-
ENSG00000130684.14_ENST00000376436.5	chr20	25674215:25677037,25685567:25685662,25685996:25686122,25686391:25686957	-
ENSG00000214078.13_TALONT000434444	chr20	35626044:35626381,35626567:35626803,35627280:35627413,35630439:35630490,35630741:35630795,35630901:35631034,35631114:35631173,35631268:35631354,35631492:35631578,35631688:35631777,35631945:35632025,35632163:35632234,35632311:35632385,35632517:35632696,35632795:35632923,35664802:35664900	-
ENSG00000214078.13_TALONT000434459	chr20	35626044:35626381,35626567:35626803,35627280:35627413,35630439:35630490,35630741:35630795,35630901:35631034,35631114:35631173,35631268:35631354,35631492:35631578,35631688:35631777,35631945:35632385,35632517:35632696,35632795:35632923,35655202:35655344,35658930:35659014,35664760:35664900	-
ENSG00000243156.9_TALONT000439347	chr22	17787649:17790916,17790998:17791071,17791202:17791301,17803811:17803861,17808844:17808937,17810703:17810813,17816690:17816784,17817311:17818250	-
ENSG00000243156.9_ENST00000252134.11	chr22	17790540:17790916,17790998:17791071,17791202:17791667	-
ENSG00000100099.22_ENST00000402105.7	chr22	26452083:26453404,26457859:26457967,26458445:26458577,26463917:26464826,26465455:26465551,26466226:26466262,26468551:26468623,26470719:26470813,26472302:26472418,26472832:26472939,26476993:26477136,26479265:26479681	-
ENSG00000100099.22_ENST00000336873.9	chr22	26452083:26453404,26457859:26457967,26458445:26458577,26463917:26464826,26465455:26465551,26466226:26466262,26468551:26468623,26470719:26470813,26472302:26472418,26472832:26472939,26476993:26477136,26479265:26479355,26481722:26482240,26483765:26483795	-
ENSG00000156313.15_TALONT000444321	chrX	38269163:38269832,38273386:38273477,38275089:38275146,38276587:38276772,38290959:38291024,38291393:38291484,38297284:38297452,38298956:38299141,38301247:38301371,38304635:38304790,38310615:38310773,38317316:38317465,38318829:38318987,38321027:38321089,38322853:38322945,38323399:38323524,38327340:38327509	-
ENSG00000156313.15_ENST00000645032.1	chrX	38284408:38287245,38287861:38288041,38290959:38291024,38291393:38291484,38297284:38297452,38298956:38299141,38301247:38301371,38304635:38304790,38310615:38310773,38317316:38317465,38318829:38318987,38321027:38321089,38322853:38322945,38323399:38323524,38327340:38327509	-
ENSG00000182872.16_TALONT000444721	chrX	47145221:47145485,47147357:47147498,47169315:47169498,47171028:47171258,47173128:47173197,47176500:47176586,47179103:47179163,47179319:47179495,47179880:47180037,47180212:47180309,47180419:47180506,47181215:47181401,47181507:47181646,47181749:47181866,47181951:47182042,47182162:47182326,47185055:47185204,47185302:47185367,47185442:47185630,47185716:47185790,47186065:47186171,47186258:47186387,47186474:47186812	+
ENSG00000182872.16_TALONT000444726	chrX	47145279:47145485,47147357:47147498,47169315:47169498,47171028:47171258,47173128:47173197,47176500:47176586,47179103:47179163,47179319:47179495,47179880:47180040,47180212:47180309,47180419:47180506,47181215:47181401,47181507:47181646,47181749:47181866,47181951:47182042,47182162:47182326,47185055:47185204,47185302:47185367,47185442:47185630,47185716:47185790,47186065:47186171,47186258:47186387,47186474:47186812	+
ENSG00000001497.18_ENST00000677834.1	chrX	65512582:65512901,65514823:65514973,65517987:65518465,65523560:65523707,65524056:65524262,65524965:65525050,65528260:65528369,65529212:65529258,65529594:65529878,65531357:65531438,65532561:65532630,65533610:65533735,65534480:65534754	-
ENSG00000001497.18_TALONT000445994	chrX	65512583:65512901,65514823:65514973,65517987:65518465,65520702:65522285,65522431:65522493,65523560:65524614,65524965:65525050,65528260:65528369,65529212:65529258,65529594:65529878,65531357:65531438,65532561:65532630,65533610:65533735,65534480:65534782	-
ENSG00000242732.4_ENST00000479991.1	chrX	72127110:72127710,72128164:72131901	-
ENSG00000242732.4_ENST00000609883.1	chrX	72127724:72131828	-
