No	SampleID
1666	cg02968265
1667	cg02273252
1668	cg00118881
1669	cg03704733
1670	cg23775843
1671	cg01262133
1672	cg27527592
1673	cg08374799
1674	cg01712948
1675	cg04477203
1676	cg05038372
1677	cg06008705
1678	cg23567719
1679	cg02951924
1680	cg09719910
1681	cg03584199
1682	cg06685244
1683	cg09948687
1684	cg08870183
1685	cg27280535
1686	cg25946267
1687	cg15617950
1688	cg25389145
1689	cg13251528
1690	cg01469409
1691	cg00348579
1692	cg25113767
1693	cg02438808
1694	cg14051805
1695	cg26834436
1696	cg22274745
1697	cg15420606
1698	cg06736312
1699	cg04760348
1700	cg07382435
1701	cg04205769
1702	cg13843349
1703	cg03975755
1704	cg17853378
1705	cg08975360
1706	cg18664369
1707	cg19294424
1708	cg10438110
1709	cg17560136
1710	cg09231741
1711	cg17006797
1712	cg11939416
1713	cg02982000
1714	cg25020204
1715	cg25546488
1716	cg27527874
1717	cg25795689
1718	cg00465312
1719	cg17414320
1720	cg05279859
1721	cg01684728
1722	cg03536961
1723	cg12313341
1724	cg08495185
1725	cg12961922
1726	cg00584450
1727	cg22461611
1728	cg10296406
1729	cg11371551
1730	cg06406157
1731	cg16250772
1732	cg23093939
1733	cg07891271
1734	cg26875515
1735	cg17264541
1736	cg05140881
1737	cg16458589
1738	cg07744695
1739	cg22596016
1740	cg27498980
1741	cg14319657
1742	cg20934024
1743	cg07433178
1744	cg15073210
1745	cg03580331
1746	cg16767867
1747	cg19027130
1748	cg10443091
1749	cg19755567
1750	cg24530116
1751	cg03208974
1752	cg23609682
1753	cg00357528
1754	cg18461528
1755	cg14504259
1756	cg00924527
1757	cg24875518
1758	cg10207219
1759	cg05525106
1760	cg12363381
1761	cg27125591
1762	cg21957296
1763	cg01874807
1764	cg00198594
1765	cg22749881
1766	cg08846079
1767	cg20997359
1768	cg19448596
1769	cg00751730
1770	cg03366992
1771	cg26596161
1772	cg05886002
1773	cg01556075
1774	cg12860062
1775	cg12162530
1776	cg15266651
1777	cg19468734
1778	cg04963480
1779	cg13828890
1780	cg08250918
1781	cg11886187
1782	cg13900767
1783	cg03872783
1784	cg06528559
1785	cg16021958
1786	cg05215063
1787	cg13300473
1788	cg04103514
1789	cg03514014
1790	cg01515896
1791	cg08612011
1792	cg12108658
1793	cg01923102
1794	cg11263011
1795	cg14356362
1796	cg03894450
1797	cg08511116
1798	cg25360385
1799	cg21850722
1800	cg04507040
1801	cg18265579
1802	cg25153363
1803	cg00821483
1804	cg13209071
1805	cg06069504
1806	cg01940964
1807	cg26883095
1808	cg05378548
1809	cg01902560
1810	cg14579430
1811	cg02916509
1812	cg10215323
1813	cg10582343
1814	cg07869256
1815	cg21108802
1816	cg07302599
1817	cg07318983
1818	cg11100993
1819	cg22484566
1820	cg21040133
1821	cg21597595
1822	cg17062046
1823	cg09966972
1824	cg12229394
1825	cg07854511
1826	cg03671317
1827	cg23397741
1828	cg08747761
1829	cg18816521
1830	cg04131468
1831	cg11125851
1832	cg01646718
1833	cg17646797
1834	cg17148532
1835	cg19573881
1836	cg01989261
1837	cg24011981
1838	cg08825645
1839	cg24186458
1840	cg11462681
1841	cg06948190
1842	cg02384911
1843	cg12695778
1844	cg18616266
1845	cg06495055
1846	cg14304998
1847	cg15103584
1848	cg12519619
1849	cg09313918
1850	cg17316096
1851	cg26104072
1852	cg05840629
1853	cg02013781
1854	cg08848649
1855	cg06995068
1856	cg02020829
1857	cg24533087
1858	cg03755425
1859	cg14043253
1860	cg01479530
1861	cg13918689
1862	cg16234967
1863	cg01397141
1864	cg16600298
1865	cg20968743
1866	cg19139167
1867	cg12138678
1868	cg25836347
1869	cg19828382
1870	cg01449995
1871	cg26826325
1872	cg06422757
1873	cg17590551
1874	cg17919186
1875	cg23403968
1876	cg04353868
1877	cg01949073
1878	cg04614502
1879	cg03869414
1880	cg27209389
1881	cg25123083
1882	cg02009648
1883	cg25600763
1884	cg27448541
1885	cg19170233
1886	cg17352422
1887	cg21949259
1888	cg11671265
1889	cg04058690
1890	cg27392771
1891	cg17494625
1892	cg05026712
1893	cg01280841
1894	cg00734592
1895	cg05190327
1896	cg11473238
1897	cg11381395
1898	cg26666978
1899	cg04715245
1900	cg06193359
1901	cg15242225
1902	cg06764674
1903	cg08006956
1904	cg20286377
1905	cg09038770
1906	cg14307212
1907	cg09788796
1908	cg22581191
1909	cg23704802
1910	cg03145360
1911	cg18874294
1912	cg19746802
1913	cg13689270
1914	cg17120782
1915	cg16912478
1916	cg14129647
1917	cg17922283
1918	cg08616654
1919	cg01017608
1920	cg23948344
1921	cg08801558
1922	cg13161850
1923	cg25578028
1924	cg21408813
1925	cg14797136
1926	cg14822011
1927	cg13151751
1928	cg02580005
1929	cg20869844
1930	cg20898437
1931	cg13147016
1932	cg18288390
1933	cg19515756
1934	cg27361370
1935	cg23228745
1936	cg23974210
1937	cg03845718
1938	cg06348811
1939	cg06009066
1940	cg14747819
1941	cg02196651
1942	cg16210670
1943	cg18757468
1944	cg18027683
1945	cg14425294
1946	cg19907365
1947	cg25416818
1948	cg01356244
1949	cg07790318
1950	cg06944346
1951	cg16647671
1952	cg08694304
1953	cg06166559
1954	cg17093576
1955	cg05161215
1956	cg05927390
1957	cg12079603
1958	cg11238542
1959	cg21453938
1960	cg01887834
1961	cg19466563
1962	cg13490578
1963	cg26126178
1964	cg18703238
1965	cg07546360
1966	cg02602086
1967	cg04396567
1968	cg03034540
1969	cg03875819
1970	cg15895233
1971	cg27089606
1972	cg01048287
1973	cg07424646
1974	cg06344807
1975	cg25588222
1976	cg23304298
1977	cg11542784
1978	cg25276752
1979	cg17283031
1980	cg02631651
1981	cg00755063
1982	cg01527959
1983	cg09041715
1984	cg23421608
1985	cg07171609
1986	cg17385437
1987	cg05601201
1988	cg22602019
1989	cg27228986
1990	cg26818786
1991	cg12593812
1992	cg05532446
1993	cg16293838
1994	cg20024125
1995	cg17199181
1996	cg26203949
1997	cg07082447
1998	cg19591696
1999	cg06376598
2000	cg11135202
2001	cg05876246
2002	cg02538852
2003	cg07569293
2004	cg05062676
2005	cg06805080
2006	cg13923364
2007	cg13731355
2008	cg23577860
2009	cg26198700
2010	cg18706316
2011	cg04653789
2012	cg18167944
2013	cg24261491
2014	cg23914535
2015	cg23333125
2016	cg06748695
2017	cg18124920
2018	cg04820910
2019	cg02833367
2020	cg15410088
2021	cg05984569
2022	cg03037114
2023	cg11196529
2024	cg18308408
2025	cg11893281
2026	cg20406267
2027	cg16664429
2028	cg09617845
2029	cg16617366
2030	cg08901103
2031	cg16712789
2032	cg15629076
2033	cg24401747
2034	cg08376992
2035	cg05299857
2036	cg19352038
2037	cg15766287
2038	cg01328444
2039	cg27515862
2040	cg04601886
2041	cg22511413
2042	cg17680089
2043	cg08358218
2044	cg11955878
2045	cg24680129
2046	cg05364884
2047	cg11197566
2048	cg24164517
2049	cg13662634
2050	cg21527414
2051	cg11551296
2052	cg10629085
2053	cg04131395
2054	cg27008646
2055	cg25928629
2056	cg21419489
2057	cg10834567
2058	cg06806638
2059	cg12251943
2060	cg00692862
2061	cg10704263
2062	cg02892153
2063	cg21842959
2064	cg13471491
2065	cg15983109
2066	cg14042132
2067	cg02521361
2068	cg10133610
2069	cg22018308
2070	cg00556627
2071	cg15090361
2072	cg11299264
2073	cg08655206
2074	cg07113000
2075	cg17785802
2076	cg09619282
2077	cg14924469
2078	cg16327891
2079	cg05907842
2080	cg07895260
2081	cg05082781
2082	cg16326188
2083	cg26266991
2084	cg05575639
2085	cg19702675
2086	cg01056478
2087	cg07722523
2088	cg18700744
2089	cg14521724
2090	cg24618999
2091	cg18141788
2092	cg19856520
2093	cg22057495
2094	cg16053241
2095	cg10541813
2096	cg06173395
2097	cg25252197
2098	cg07153966
2099	cg09917394
2100	cg00792449
2101	cg27464144
2102	cg18669139
2103	cg06962787
2104	cg00552684
2105	cg11898646
2106	cg13401282
2107	cg08693997
2108	cg03477904
2109	cg22700822
2110	cg06326832
2111	cg07163687
2112	cg05509190
2113	cg03203667
2114	cg04422625
2115	cg19906192
2116	cg08412188
2117	cg04920761
2118	cg08942800
2119	cg06960794
2120	cg12197836
2121	cg06700347
2122	cg15832300
2123	cg10093067
2124	cg23539114
2125	cg03218909
2126	cg07582655
2127	cg06644867
2128	cg04011135
2129	cg24273934
2130	cg06667833
2131	cg17940464
2132	cg24956533
2133	cg07376086
2134	cg23339693
2135	cg01093854
2136	cg26623364
2137	cg03929615
2138	cg16651780
2139	cg12582426
2140	cg17634781
2141	cg26639479
2142	cg26734779
2143	cg17388653
2144	cg04803956
2145	cg12112031
2146	cg18882449
2147	cg09241638
2148	cg10651375
2149	cg24789846
2150	cg11941526
2151	cg06519243
2152	cg10206331
2153	cg23045073
2154	cg12642651
2155	cg27643736
2156	cg05527292
2157	cg08616111
2158	cg09208651
2159	cg25650256
2160	cg20918243
2161	cg10597982
2162	cg22218543
2163	cg10765495
2164	cg24010859
2165	cg18733757
2166	cg22239317
2167	cg26099045
2168	cg12988117
2169	cg11595855
2170	cg09809567
2171	cg18262274
2172	cg04712314
2173	cg02053281
2174	cg06214653
2175	cg17990279
2176	cg19683913
2177	cg18050243
2178	cg09119494
2179	cg23243400
2180	cg08580591
2181	cg04089275
2182	cg14408339
2183	cg14606234
2184	cg01931742
2185	cg08990348
2186	cg01789499
2187	cg02101876
2188	cg08961664
2189	cg25128298
2190	cg09849688
2191	cg25616010
2192	cg21493873
2193	cg16541031
2194	cg13685883
2195	cg10295671
2196	cg13883672
2197	cg10934350
2198	cg25449283
2199	cg25077786
2200	cg03093786
2201	cg24626581
2202	cg11423206
2203	cg08805768
2204	cg14143948
2205	cg01612366
2206	cg00361781
2207	cg04695208
2208	cg04926845
2209	cg21571166
2210	cg02936035
2211	cg06105296
2212	cg02167021
2213	cg17413870
2214	cg26387435
2215	cg21809054
2216	cg00599354
2217	cg01683710
2218	cg22871227
2219	cg23897941
2220	cg14842820
2221	cg04400679
2222	cg23815391
2223	cg17104026
2224	cg11239048
2225	cg00520612
2226	cg01966277
2227	cg16475927
2228	cg11213983
2229	cg19902824
2230	cg23465621
2231	cg12209737
2232	cg02502233
2233	cg10139739
2234	cg14623374
2235	cg14019757
2236	cg22396868
2237	cg16094145
2238	cg03859028
2239	cg07579732
2240	cg25155774
2241	cg12010144
2242	cg18562121
2243	cg03662648
2244	cg00769664
2245	cg01087964
2246	cg25353608
2247	cg18101225
2248	cg18828334
2249	cg20220993
2250	cg25471682
2251	cg14252867
2252	cg12658012
2253	cg20320455
2254	cg20512545
2255	cg00047117
2256	cg26025891
2257	cg22518373
2258	cg18835528
2259	cg26051780
2260	cg10163794
2261	cg03611167
2262	cg18036140
2263	cg16354430
2264	cg09217878
2265	cg02696830
2266	cg04728480
2267	cg14451276
2268	cg03840504
2269	cg04385484
2270	cg19828516
2271	cg00495456
2272	cg18482934
2273	cg00719626
2274	cg00429622
2275	cg25499543
2276	cg14023023
2277	cg13688770
2278	cg27138697
2279	cg08569613
2280	cg20660171
2281	cg03309253
2282	cg25490585
2283	cg05513258
2284	cg21055554
2285	cg21010475
2286	cg26665229
2287	cg00453202
2288	cg19453093
2289	cg12028969
2290	cg10573729
2291	cg09908110
2292	cg02827491
2293	cg16139963
2294	cg17744110
2295	cg22213014
2296	cg16191307
2297	cg04965167
2298	cg08769507
2299	cg16897518
2300	cg13840520
2301	cg25541958
2302	cg17444904
2303	cg09169152
2304	cg16468729
2305	cg07788438
2306	cg11460359
2307	cg02011430
2308	cg02469161
2309	cg16701852
2310	cg18960289
2311	cg26866452
2312	cg25441141
2313	cg09788586
2314	cg26811898
2315	cg24050745
2316	cg22525212
2317	cg26128464
2318	cg17009294
2319	cg23173466
2320	cg24968968
2321	cg27157482
2322	cg16416158
2323	cg13891556
2324	cg03365496
2325	cg25245261
2326	cg00347722
2327	cg24067194
2328	cg03107656
2329	cg10272017
2330	cg07691061
2331	cg08336473
2332	cg07639701
2333	cg06837596
2334	cg05247850
2335	cg18019132
2336	cg12597169
2337	cg22237735
2338	cg22123490
2339	cg10455940
2340	cg15893493
2341	cg06093185
2342	cg02625253
2343	cg19262972
2344	cg17393041
2345	cg23201812
2346	cg26599871
2347	cg07132814
2348	cg26946914
2349	cg21052608
2350	cg21170529
2351	cg12382976
2352	cg16330742
2353	cg23491326
2354	cg20007063
2355	cg09101941
2356	cg11960391
2357	cg19807446
2358	cg06594803
2359	cg14603358
2360	cg01486015
2361	cg13018120
2362	cg22233648
2363	cg12123879
2364	cg07441795
2365	cg21010334
2366	cg01020484
2367	cg18597421
2368	cg05826175
2369	cg21363050
2370	cg10535632
2371	cg14734944
2372	cg04296126
2373	cg16929656
2374	cg13043509
2375	cg15747993
2376	cg04448715
2377	cg04060873
2378	cg21745586
2379	cg03790522
2380	cg12242038
2381	cg02810916
2382	cg20737828
2383	cg16823698
2384	cg19299291
2385	cg09887589
2386	cg08996521
2387	cg13466128
2388	cg14066797
2389	cg23013473
2390	cg23377893
2391	cg06402296
2392	cg16964733
2393	cg06627114
2394	cg02447879
2395	cg21607172
2396	cg08102837
2397	cg10149054
2398	cg04911177
2399	cg21020378
2400	cg04066265
2401	cg11571304
2402	cg25597390
2403	cg05814654
2404	cg10239545
2405	cg09840635
2406	cg03891346
2407	cg03613525
2408	cg23137161
2409	cg10077360
2410	cg13577556
2411	cg25193885
2412	cg11827097
2413	cg23531150
2414	cg02780388
2415	cg18990746
2416	cg01411921
2417	cg19853703
2418	cg00237164
2419	cg02950364
2420	cg13857345
2421	cg10977795
2422	cg09888297
2423	cg05958294
2424	cg09864245
2425	cg06887957
2426	cg22720885
2427	cg26757021
2428	cg13921570
2429	cg03429758
2430	cg19092164
2431	cg05532403
2432	cg04718705
2433	cg13622821
2434	cg15625480
2435	cg25042939
2436	cg13409442
2437	cg15578626
2438	cg03240301
2439	cg02127209
2440	cg05040501
2441	cg15027262
2442	cg02068524
2443	cg24550507
2444	cg17512276
2445	cg23423191
2446	cg04899000
2447	cg05168468
2448	cg20517202
2449	cg08627269
2450	cg02995011
2451	cg18320108
2452	cg09382127
2453	cg08536446
2454	cg05501426
2455	cg15443783
2456	cg16113168
2457	cg11432101
2458	cg13218573
2459	cg11925237
2460	cg21351034
2461	cg25180774
2462	cg06521591
2463	cg15041339
2464	cg12752689
2465	cg25859099
2466	cg24661867
2467	cg25668121
2468	cg04843461
2469	cg08936231
2470	cg25735823
2471	cg10896586
2472	cg07097650
2473	cg15188547
2474	cg25733272
2475	cg27424906
2476	cg03294424
2477	cg03738400
2478	cg09354264
2479	cg08730348
2480	cg18118262
2481	cg02973930
2482	cg23598115
2483	cg04868655
2484	cg21116652
2485	cg16030758
2486	cg26557936
2487	cg03312643
2488	cg09255383
2489	cg23101118
2490	cg24385348
2491	cg03317245
2492	cg04162497
2493	cg09436502
2494	cg16811108
2495	cg23947161
2496	cg06664465
2497	cg26246101
2498	cg26653714
2499	cg14280466
2500	cg15391590
2501	cg04214573
2502	cg22455760
2503	cg12751042
2504	cg14297172
2505	cg25934177
2506	cg22473770
2507	cg16826307
2508	cg07376916
2509	cg01392007
2510	cg08697503
2511	cg08554936
2512	cg19998111
2513	cg10436257
2514	cg20811456
2515	cg08134504
2516	cg06530903
2517	cg04517961
2518	cg06876103
2519	cg09750775
2520	cg01027750
2521	cg15652790
2522	cg21774338
2523	cg04876208
2524	cg21486973
2525	cg06419476
2526	cg01768814
2527	cg20090508
2528	cg03209871
2529	cg17974684
2530	cg08825383
2531	cg19284549
2532	cg11639550
2533	cg20284961
2534	cg25133016
2535	cg07119829
2536	cg09985845
2537	cg18048270
2538	cg25159401
2539	cg21281164
2540	cg03723907
2541	cg11281640
2542	cg07935832
2543	cg19943537
2544	cg03815621
2545	cg17837069
2546	cg25182621
2547	cg09210234
2548	cg13733684
2549	cg01551013
2550	cg18125510
2551	cg05090717
2552	cg21436413
2553	cg05793240
2554	cg03317463
2555	cg00780456
2556	cg06008062
2557	cg07296960
2558	cg04221429
2559	cg09963191
2560	cg11279294
2561	cg04305062
2562	cg15775211
2563	cg09803079
2564	cg25194099
2565	cg14448659
2566	cg10832371
2567	cg18499294
2568	cg01863510
2569	cg01579949
2570	cg20015448
2571	cg02097767
2572	cg25938039
2573	cg27147322
2574	cg06909469
2575	cg25420092
2576	cg03808351
2577	cg22145651
2578	cg25733578
2579	cg24154271
2580	cg25890168
2581	cg07394499
2582	cg02387633
2583	cg17519955
2584	cg06180952
2585	cg23687322
2586	cg13588954
2587	cg15119326
2588	cg16776925
2589	cg10634712
2590	cg12090003
2591	cg08305799
2592	cg16201684
2593	cg23706615
2594	cg09025605
2595	cg01933405
2596	cg05722360
2597	cg04211309
2598	cg02732915
2599	cg09891198
2600	cg02523309
2601	cg25312054
2602	cg25620220
2603	cg15654892
2604	cg11928797
2605	cg07033292
2606	cg22557012
2607	cg11507524
2608	cg00390215
2609	cg22389380
2610	cg02443306
2611	cg17429587
2612	cg02522817
2613	cg08689445
2614	cg08450163
2615	cg15426660
2616	cg26684776
2617	cg02371080
2618	cg14527022
2619	cg24107270
2620	cg01519261
2621	cg07886756
2622	cg24682776
2623	cg06555928
2624	cg00822396
2625	cg07849112
2626	cg20761290
2627	cg11795325
2628	cg01275030
2629	cg02994291
2630	cg22171142
2631	cg19117190
2632	cg09451030
2633	cg27256309
2634	cg15236354
2635	cg27039866
2636	cg09613911
2637	cg05011836
2638	cg19517774
2639	cg26102475
2640	cg23682765
2641	cg05131878
2642	cg15142222
2643	cg11860160
2644	cg00359216
2645	cg20027296
2646	cg22610233
2647	cg17530247
2648	cg23104824
2649	cg08862581
2650	cg23510240
2651	cg00022688
2652	cg17926950
2653	cg09254119
2654	cg23710748
2655	cg16794061
2656	cg07074005
2657	cg02183170
2658	cg05149386
2659	cg22137649
2660	cg13145750
2661	cg25076786
2662	cg13546240
2663	cg20707527
2664	cg01128247
2665	cg01671575
2666	cg23330930
2667	cg11180624
2668	cg07663572
2669	cg06802709
2670	cg11670806
2671	cg16566165
2672	cg05776619
2673	cg19308227
2674	cg03528946
2675	cg26440512
2676	cg19828748
2677	cg25988214
2678	cg12198176
2679	cg02725123
2680	cg10432947
2681	cg10201303
2682	cg25103337
2683	cg05429603
2684	cg02065165
2685	cg14563196
2686	cg01932734
2687	cg23667554
2688	cg17765553
2689	cg09591524
2690	cg08533754
2691	cg12474824
2692	cg14851204
2693	cg23732483
2694	cg14131038
2695	cg12840024
2696	cg04377850
2697	cg10452704
2698	cg00791758
2699	cg15353886
2700	cg01855735
2701	cg23075475
2702	cg10351275
2703	cg12208051
2704	cg15547048
2705	cg15070011
2706	cg11612852
2707	cg00164282
2708	cg20033981
2709	cg22809856
2710	cg18232841
2711	cg06732228
2712	cg24092106
2713	cg04407215
2714	cg27438767
2715	cg07221530
2716	cg17789273
2717	cg18650908
2718	cg18652204
2719	cg10441424
2720	cg01355374
2721	cg03219453
2722	cg06174215
2723	cg18701481
2724	cg02535855
2725	cg04016410
2726	cg15596810
2727	cg15428244
2728	cg06531060
2729	cg04635635
2730	cg10685614
2731	cg08539620
2732	cg02441713
2733	cg24860562
2734	cg03589356
2735	cg07399532
2736	cg24952123
2737	cg21599974
2738	cg09227563
2739	cg25555753
2740	cg14825633
2741	cg10453443
2742	cg09390137
2743	cg19709608
2744	cg04917160
2745	cg12205413
2746	cg20784465
2747	cg09577030
2748	cg17327831
2749	cg01780009
2750	cg13893012
2751	cg00371829
2752	cg02898493
2753	cg07959068
2754	cg02861615
2755	cg20503282
2756	cg10898989
2757	cg19438746
2758	cg26955482
2759	cg17274599
2760	cg05948372
2761	cg11162377
2762	cg14195722
2763	cg20041670
2764	cg23143704
2765	cg06019647
2766	cg11238995
2767	cg00626422
2768	cg03172688
2769	cg20544372
2770	cg04495566
2771	cg11645556
2772	cg07318417
2773	cg23664795
2774	cg08711067
2775	cg07449881
2776	cg18980148
2777	cg05165862
2778	cg19965403
2779	cg18579379
2780	cg20307442
2781	cg17354897
2782	cg15299393
2783	cg09712509
2784	cg13794390
2785	cg00952516
2786	cg07673183
2787	cg08373547
2788	cg02445282
2789	cg10679688
2790	cg05641529
2791	cg11558551
2792	cg05844992
2793	cg09418738
2794	cg12100600
2795	cg25541968
2796	cg01282376
2797	cg13686384
2798	cg13775463
2799	cg03319208
2800	cg10264662
2801	cg00022064
2802	cg00829404
2803	cg09028166
2804	cg19385331
2805	cg27242702
2806	cg01351032
2807	cg01138967
2808	cg00522883
2809	cg00490859
2810	cg03442375
2811	cg05057292
2812	cg11165912
2813	cg00147987
2814	cg00438616
2815	cg06128875
2816	cg07052787
2817	cg16027412
2818	cg03223462
2819	cg13067350
2820	cg26851153
2821	cg07404953
2822	cg01868588
2823	cg26938013
2824	cg10443569
2825	cg15496474
2826	cg06329684
2827	cg17207944
2828	cg08483687
2829	cg01036205
2830	cg24100658
2831	cg21524902
2832	cg13219667
2833	cg22491134
2834	cg04295786
2835	cg22971145
2836	cg26437009
2837	cg14914220
2838	cg22482185
2839	cg16005939
2840	cg14284506
2841	cg11037750
2842	cg15996882
2843	cg27429480
2844	cg00813027
2845	cg13891025
2846	cg19552640
2847	cg02099088
2848	cg06718763
2849	cg07699068
2850	cg21777642
2851	cg16978268
2852	cg09784168
2853	cg25532677
2854	cg04702314
2855	cg01777972
2856	cg22768358
2857	cg10769093
2858	cg08797574
2859	cg16322188
2860	cg11906607
2861	cg00739278
2862	cg01349856
2863	cg21143446
2864	cg14273411
2865	cg22465905
2866	cg03828874
2867	cg11320332
2868	cg07447910
2869	cg24675344
2870	cg23930114
2871	cg11796938
2872	cg23117497
2873	cg04764597
2874	cg16858842
2875	cg20318272
2876	cg08377924
2877	cg21919809
2878	cg17076304
2879	cg16453259
2880	cg01157280
2881	cg06752695
2882	cg06468072
2883	cg02544502
2884	cg10973939
2885	cg09590082
2886	cg05807666
2887	cg16944597
2888	cg21685789
2889	cg18919237
2890	cg27376047
2891	cg14590070
2892	cg13911501
2893	cg02842231
2894	cg12670123
2895	cg03870138
2896	cg05327736
2897	cg10068219
2898	cg10695145
2899	cg13077545
2900	cg14701867
2901	cg18398846
2902	cg04097641
2903	cg04378646
2904	cg16111104
2905	cg02466588
2906	cg00097818
2907	cg14053030
2908	cg10623530
2909	cg17263053
2910	cg24495851
2911	cg14100181
2912	cg12175087
2913	cg13245809
2914	cg26974062
2915	cg04359753
2916	cg23913313
2917	cg08042258
2918	cg22821981
2919	cg14234457
2920	cg02128244
2921	cg18855165
2922	cg15400997
2923	cg01874403
2924	cg00301795
2925	cg21729242
2926	cg04614515
2927	cg15958289
2928	cg07164912
2929	cg09884040
2930	cg07633853
2931	cg17445840
2932	cg18830898
2933	cg26435575
2934	cg13616972
2935	cg03701853
2936	cg15088602
2937	cg13988205
2938	cg20770857
2939	cg09792714
2940	cg21259588
2941	cg15774391
2942	cg25425721
2943	cg06733155
2944	cg13857678
2945	cg22552736
2946	cg20459687
2947	cg20233387
2948	cg23072711
2949	cg14764775
2950	cg05574689
2951	cg14229540
2952	cg12713909
2953	cg20721738
2954	cg08119610
2955	cg09621695
2956	cg09157272
2957	cg23133658
2958	cg05192293
2959	cg04535120
2960	cg11788497
2961	cg08534206
2962	cg26621748
2963	cg14451371
2964	cg15942641
2965	cg07149030
2966	cg08068644
2967	cg27655706
2968	cg07244095
2969	cg08145700
2970	cg07164224
2971	cg23627145
2972	cg09219093
2973	cg27409230
2974	cg16308770
2975	cg18669590
2976	cg05200694
2977	cg19235283
2978	cg26732252
2979	cg09167951
2980	cg08657422
2981	cg12588233
2982	cg13302994
2983	cg11511670
2984	cg06569166
2985	cg13301442
2986	cg23154281
2987	cg24993021
2988	cg11362622
2989	cg02754070
2990	cg22169750
2991	cg26823003
2992	cg18480675
2993	cg10466421
2994	cg19384905
2995	cg26995450
2996	cg26989674
2997	cg06114334
2998	cg14764953
2999	cg17628287
3000	cg16719385
3001	cg13189207
3002	cg18761813
3003	cg19186105
3004	cg04818331
3005	cg24635860
3006	cg22677332
3007	cg15813533
3008	cg12025642
3009	cg24313303
3010	cg12821539
3011	cg24154340
3012	cg22089890
3013	cg11451043
3014	cg00945746
3015	cg08881019
3016	cg05994140
3017	cg13420320
3018	cg25809059
3019	cg17518776
3020	cg19541986
3021	cg05118864
3022	cg20374917
3023	cg09418290
3024	cg04893529
3025	cg14637111
3026	cg26925457
3027	cg07937271
3028	cg04863427
3029	cg27103194
3030	cg14806292
3031	cg22126047
3032	cg11885415
3033	cg04503093
3034	cg17113831
3035	cg14804362
3036	cg12691994
3037	cg17010745
3038	cg14390798
3039	cg14501118
3040	cg23892349
3041	cg25428429
3042	cg26130533
3043	cg12924899
3044	cg00303223
3045	cg18341905
3046	cg10540722
3047	cg02113536
3048	cg17244246
3049	cg12680929
3050	cg19510626
3051	cg27597392
3052	cg12914657
3053	cg12102607
3054	cg18354714
3055	cg00435017
3056	cg23851638
3057	cg08182097
3058	cg09077530
3059	cg06553451
3060	cg02357541
3061	cg07161173
3062	cg00844825
3063	cg25012186
3064	cg00563027
3065	cg02162404
3066	cg11264863
3067	cg24718756
3068	cg22437699
3069	cg14113851
3070	cg13839160
3071	cg20173065
3072	cg01051381
3073	cg23296791
3074	cg27474094
3075	cg05123845
3076	cg07048519
3077	cg21137540
3078	cg23195510
3079	cg09231171
3080	cg24646972
3081	cg24193140
3082	cg02632314
3083	cg02504858
3084	cg00118808
3085	cg20249458
3086	cg20564474
3087	cg19384512
3088	cg05875719
3089	cg02438950
3090	cg02079831
3091	cg08125031
3092	cg26081841
3093	cg04131448
3094	cg26923410
3095	cg26874634
3096	cg22027919
3097	cg15264139
3098	cg13060531
3099	cg15782903
3100	cg12389461
3101	cg21672572
3102	cg11947162
3103	cg13704531
3104	cg19450479
3105	cg10824316
3106	cg13629753
3107	cg23982809
3108	cg06942850
3109	cg26736888
3110	cg04179151
3111	cg01242976
3112	cg10914523
3113	cg05836790
3114	cg01749742
3115	cg06640279
3116	cg04835613
3117	cg08570118
3118	cg24785804
3119	cg09178366
3120	cg25598400
3121	cg26682499
3122	cg06126055
3123	cg17254749
3124	cg19883755
3125	cg01881549
3126	cg01881899
3127	cg13455448
3128	cg14266527
3129	cg25641936
3130	cg09811211
3131	cg14022857
3132	cg07077965
3133	cg21667921
3134	cg23606089
3135	cg14386607
3136	cg18739146
3137	cg14429233
3138	cg11936643
3139	cg21081919
3140	cg14321618
3141	cg12010750
3142	cg00239150
3143	cg18664712
3144	cg11641973
3145	cg16845975
3146	cg03100209
3147	cg02906061
3148	cg08384913
3149	cg18082894
3150	cg25380021
3151	cg14264606
3152	cg07390069
3153	cg02676262
3154	cg10314373
3155	cg03011335
3156	cg22104841
3157	cg03392565
3158	cg09946448
3159	cg06432055
3160	cg04352529
3161	cg10162210
3162	cg20284699
3163	cg03289901
3164	cg01868781
3165	cg15474728
3166	cg20310907
3167	cg06381831
3168	cg27500311
3169	cg24843443
3170	cg19515245
3171	cg07046309
3172	cg04128619
3173	cg04983296
3174	cg01117061
3175	cg07349633
3176	cg11304234
3177	cg03991309
3178	cg22139665
3179	cg06528816
3180	cg09317554
3181	cg16491426
3182	cg03131729
3183	cg14878913
3184	cg16341261
3185	cg19118263
3186	cg01705612
3187	cg08756830
3188	cg26023877
3189	cg27345021
3190	cg26020164
3191	cg19854744
3192	cg20439103
3193	cg02854030
3194	cg03018647
3195	cg16731620
3196	cg23877608
3197	cg08978341
3198	cg16602957
3199	cg13990355
3200	cg13760478
3201	cg15307807
3202	cg03544771
3203	cg12539917
3204	cg01785568
3205	cg09177080
3206	cg13340895
3207	cg07031236
3208	cg14062261
3209	cg07351787
3210	cg15976739
3211	cg19500342
3212	cg05869739
3213	cg08280562
3214	cg06664995
3215	cg12078253
3216	cg13474998
3217	cg22875654
3218	cg25213968
3219	cg27348243
